SEED,TEAM,CONF,G,W,ADJOE,ADJDE,BARTHAG,EFG_O,EFG_D,TOR,TORD,ORB,DRB,FTR,FTRD,2P_O,2P_D,3P_O,3P_D,ADJ_T,WAB,POSTSEASON,YEAR
16,Portland St.,BSky,31,23,106,101,0.631,54.4,50.6,20.8,21.4,34.1,31.7,37.8,34.9,50.8,49.7,39.7,34.8,68.1,-3.4,R64,2008
NA,Utah St.,WAC,34,24,112,107,0.629,57.4,50,21.4,17.6,34.1,32.1,36.9,28.9,56.3,47.5,40.1,36.6,64.8,-4.6,NA,2008
NA,Michigan,B10,32,10,102,97.6,0.625,45.8,51.5,19.9,21,33.7,35,28.4,27.5,45.2,48.4,31.2,38,66.3,-8.2,NA,2008
NA,Penn St.,B10,31,15,106,101,0.624,48.3,51.9,19.7,20.7,36.3,32.6,32.1,29.1,46.7,50.8,34,35.7,65.4,-4.2,NA,2008
NA,Valparaiso,Horz,34,21,105,101,0.618,52.9,49.6,19.7,18.6,27.3,29.7,34.6,38.1,49.8,48,38,35,67.4,-4.7,NA,2008
NA,Auburn,SEC,30,14,108,104,0.603,52.5,55.8,20,22.2,31.9,32.5,31.5,28.1,53.5,55.4,34,37.5,67.2,-6.2,NA,2008
NA,North Texas,SB,28,20,104,100,0.601,51.9,48.9,21.7,19.8,35.3,29.7,40.6,39,48.8,47.6,39.5,34.2,69.9,-6.1,NA,2008
NA,Rider,MAAC,34,23,106,102,0.599,54.8,49.1,20,19.8,34.5,30.7,38.2,30.6,52.8,47.5,39.6,34.4,70.5,-4.5,NA,2008
NA,Indiana St.,MVC,30,15,103,100,0.598,47.6,51.2,19.9,21.7,30.9,33.4,36.6,41.2,46.9,50.5,32.4,35.1,66.1,-5.6,NA,2008
NA,Iowa,B10,32,13,97,93.7,0.598,50,46.4,26.1,19.1,29.7,29,36,30.3,48.3,44.5,34.7,33.2,61.1,-7.5,NA,2008
NA,North Dakota St.,Sum,27,16,104,101,0.598,51.9,49.4,20,18.6,33.6,28,40.1,36.7,48.9,48,39.4,35.8,69,-7.4,NA,2008
NA,Marshall,CUSA,28,16,105,101,0.597,47.1,50.9,20,21.8,37.1,33,43.5,38.9,47.2,49.6,31.3,35.6,64.7,-6.4,NA,2008
14,Cornell,Ivy,27,22,107,103,0.597,55.4,49.1,19.9,20.9,28.6,31.3,33.8,34.6,52.5,46.3,40.4,36.5,69.8,-1.2,R64,2008
NA,UC Santa Barbara,BW,31,23,99.5,96.1,0.596,52,49.8,21,26.8,27.6,33.8,34.6,42.2,47.3,51.5,40.7,31.3,67.1,-2.6,NA,2008
14,Boise St.,WAC,33,25,105,102,0.593,57.1,50.3,21.2,19.5,30.4,29.4,39.7,33.6,56.2,49.1,39.2,35.2,72.9,-2.4,R64,2008
NA,Robert Morris,NEC,34,26,101,98.9,0.574,53,50,23.3,26.1,35.2,31.8,27.7,39.1,51.2,52,37.5,31.2,70.7,-3,NA,2008
NA,Cal St. Northridge,BW,29,20,100,97.6,0.573,52.2,47.8,21.5,24.5,31.8,31.5,32.6,51.1,50.3,48.8,37.3,30.8,74.1,-4.7,NA,2008
NA,Georgia Southern,SC,30,20,104,101,0.571,49.9,50.3,19.9,22.2,37.1,33,34.3,41.2,49.1,48.7,34.5,35.5,70.6,-5.4,NA,2008
NA,Sam Houston St.,Slnd,27,23,95.5,93.1,0.571,47.7,44.4,22.7,22.6,33.9,27.9,39,38,48.1,43.3,31.3,31.3,68.8,-4.3,NA,2008
NA,St. John's,BE,30,11,96.3,93.9,0.569,45.8,49.5,22.9,21.5,32.7,30.6,35,40.3,44.1,48.6,33.3,34.3,66.1,-7,NA,2008
